Restaurant Name,City,Latitude,Longitude,Cuisine
Mangal Ltd Restaurant,Lucknow,26.8467,80.9462,South Indian
"Raju, Batra and Rastogi Restaurant",Chennai,13.0827,80.2707,South Indian
Zacharia-Mahajan Restaurant,Jaipur,26.9124,75.7873,Mexican
Kala PLC Restaurant,Chennai,13.0827,80.2707,Mexican
"Purohit, Anand and Ratta Restaurant",Bangalore,12.9716,77.5946,Arabic
Butala-Bora Restaurant,Jaipur,26.9124,75.7873,Indian
"Rana, Boase and Goda Restaurant",Delhi,28.6139,77.209,Mexican
Chauhan-Chowdhury Restaurant,Bangalore,12.9716,77.5946,Indian
Krishnamurthy-Muni Restaurant,Chennai,13.0827,80.2707,Japanese
Mutti Group Restaurant,Mumbai,19.076,72.8777,Chinese
Khurana Group Restaurant,Pune,18.5204,73.8567,Italian
Dora-Dhaliwal Restaurant,Chennai,13.0827,80.2707,Chinese
Bahri PLC Restaurant,Hyderabad,17.385,78.4867,Mexican
Morar-Yadav Restaurant,Ahmedabad,23.0225,72.5714,North Indian
"Sama, Dave and Sabharwal Restaurant",Kolkata,22.5726,88.3639,North Indian
Chowdhury-Narula Restaurant,Jaipur,26.9124,75.7873,Chinese
Balay-Dasgupta Restaurant,Bangalore,12.9716,77.5946,Japanese
Gaba-Choudhary Restaurant,Ahmedabad,23.0225,72.5714,Japanese
Sama LLC Restaurant,Hyderabad,17.385,78.4867,Japanese
Agrawal-Talwar Restaurant,Mumbai,19.076,72.8777,Arabic
"Karnik, Jha and Sridhar Restaurant",Kolkata,22.5726,88.3639,Mexican
Saraf-Sankaran Restaurant,Lucknow,26.8467,80.9462,North Indian
Comar-Johal Restaurant,Jaipur,26.9124,75.7873,Japanese
Baria and Sons Restaurant,Chennai,13.0827,80.2707,Italian
Rajagopal-Raju Restaurant,Kolkata,22.5726,88.3639,Chinese
Ram Inc Restaurant,Chennai,13.0827,80.2707,Japanese
Contractor LLC Restaurant,Kolkata,22.5726,88.3639,Mexican
Dara-Sinha Restaurant,Hyderabad,17.385,78.4867,Japanese
Mahal Group Restaurant,Hyderabad,17.385,78.4867,Japanese
