Restaurant Name,City,Latitude,Longitude,Cuisine
Kota Inc Restaurant,Hyderabad,17.411254,78.522885,Japanese
"Rai, Agrawal and Jhaveri Restaurant",Mumbai,19.065056,72.849895,North Indian
Naik Inc Restaurant,Ahmedabad,23.040606,72.585594,Arabic
"Viswanathan, Natarajan and Hans Restaurant",Bangalore,12.997996,77.588487,Italian
"Chandra, Deol and Murthy Restaurant",Kolkata,22.590962,88.327195,Mexican
Bhat Group Restaurant,Jaipur,26.902436,75.829995,Arabic
Garg-Bhagat Restaurant,Delhi,28.64046,77.216768,Arabic
"Warrior, Ram and Parmer Restaurant",Mumbai,19.057927,72.880343,Italian
Dixit-Mane Restaurant,Chennai,13.061568,80.285766,Chinese
Chaudhari Group Restaurant,Kolkata,22.581523,88.345044,Chinese
Deshmukh Group Restaurant,Ahmedabad,23.012087,72.552336,Chinese
Kadakia Group Restaurant,Jaipur,26.913422,75.758078,South Indian
Saha-Dutta Restaurant,Pune,18.481992,73.871522,Chinese
Korpal-Acharya Restaurant,Lucknow,26.866037,80.925442,Arabic
Deo Inc Restaurant,Chennai,13.088032,80.29584,North Indian
Sibal-Sha Restaurant,Mumbai,19.104737,72.903823,North Indian
"Sibal, Kale and Krishna Restaurant",Pune,18.552563,73.825153,Mexican
"Contractor, Bumb and Bali Restaurant",Hyderabad,17.394244,78.505352,Chinese
"Korpal, Kapur and Goyal Restaurant",Pune,18.488583,73.836435,North Indian
Bera-Ray Restaurant,Chennai,13.07735,80.249003,Chinese
Kala PLC Restaurant,Hyderabad,17.356397,78.477864,South Indian
Chauhan-Dutta Restaurant,Hyderabad,17.344484,78.505781,South Indian
Magar-Batra Restaurant,Hyderabad,17.405903,78.482641,Japanese
"Sethi, Mane and Gour Restaurant",Ahmedabad,23.05136,72.559592,Mexican
Nagy-Shenoy Restaurant,Kolkata,22.590565,88.379563,Mexican
Pau Ltd Restaurant,Mumbai,19.091523,72.889924,South Indian
Maharaj-Parsa Restaurant,Bangalore,12.957181,77.618554,Chinese
Kalla-Wagle Restaurant,Ahmedabad,23.046021,72.559199,Italian
"Bhatnagar, Dara and Deshpande Restaurant",Lucknow,26.821134,80.931744,North Indian
"Kibe, Om and Yadav Restaurant",Lucknow,26.867524,80.957539,North Indian
Rege PLC Restaurant,Hyderabad,17.377802,78.509121,Indian
"Krishna, Minhas and Kashyap Restaurant",Mumbai,19.043608,72.883099,North Indian
"Golla, Tripathi and Gara Restaurant",Lucknow,26.848666,80.907337,Italian
